1.0,0.0,0.32941
0.32941,0.0,0.10588
0.66275,0.0,0.21961
1.0,0.80392,0.86667
0.32941,0.26275,0.28627
0.66275,0.52941,0.57255
1.0,0.6,0.73333
0.32941,0.19608,0.23922
0.66275,0.4,0.48627
1.0,0.4,0.6
0.32941,0.12941,0.19608
0.66275,0.26667,0.39608
1.0,0.2,0.46667
0.32941,0.06667,0.15294
0.66275,0.13333,0.3098
1.0,0.0,0.0
0.32941,0.0,0.0
0.66275,0.0,0.0
1.0,0.80392,0.80392
0.32941,0.26275,0.26275
0.66275,0.52941,0.52941
1.0,0.60392,0.6
0.32941,0.19608,0.19608
0.66275,0.4,0.4
1.0,0.40392,0.4
0.32941,0.12941,0.12941
0.66275,0.26667,0.26667
1.0,0.20392,0.2
0.32941,0.06667,0.06667
0.66275,0.13333,0.13333
